L,b,h,F,fleche_mm,sigma_MPa
0.9781801964118502,0.07756866689425337,0.07384048573723885,3565.674030527261,2.0354899883646898,49.48075720744123
2.746436300285509,0.09958066578919463,0.028306007895912696,780.8573455490081,136.43006702777205,161.27245922860425
1.8559745019538267,0.033128727271492374,0.11599217296175811,1704.5149224584036,4.01482588558468,42.58551885424404
1.4615606853189014,0.07044223303148744,0.06879300275317562,550.5959070894427,1.4277702168471291,14.483697103160525
0.6612658646612706,0.06329111664709398,0.027453203201613072,1176.006843270623,4.94603319869739,97.81566155972094
0.6612372870684137,0.10710447022134227,0.13903839699463522,378.9904808494422,0.007249852170716466,0.7262059220628992
0.554840098004973,0.1241399835646643,0.05683705054344449,324.8329985607397,0.04636583386874748,2.696525191649049
1.46800793255579,0.07777476679881776,0.07072080392872378,701.9519336392617,1.5376340723880497,15.894758434619392
1.7781056670396789,0.022201866940751058,0.033311527761094056,965.1946536120156,125.93752488301006,417.9700145583851
0.518785530119442,0.0604386774823827,0.10099758819832155,306.9217946962732,0.013109436579490225,1.5496366353221234
2.8425398939327113,0.03570477124271963,0.10391408374159193,420.1944860319819,4.588399868816192,18.58801815316778
2.2219602542548866,0.03710891994736348,0.14377020952809386,138.84815668463432,0.2630901824527012,2.4133012025317786
0.7314791453839057,0.04072773981758609,0.05497896774899064,122.69192724857497,0.13513955273487255,4.37406985878443
0.6925598810528832,0.06993570400791943,0.05002016703128554,269.53555419476885,0.19484729594173084,6.400817056481896
0.6945227129221505,0.039205245765512486,0.09127825121236856,133.70362648280113,0.028615222632819147,1.7056977942694727
0.8624153664054479,0.08753597079933689,0.02611860248005719,150.07560996770437,1.1756117358041327,13.004433254741544
1.2802944939350251,0.04518728421754402,0.060202506898332564,2405.1434074878152,9.751048962483539,112.81236699418791
1.0841479693345974,0.022953199609438882,0.0601215419857608,116.42473154230336,0.5665236676468844,9.128125475138381
0.8425396033683951,0.09702147517488369,0.023951044604546407,1316.8128062044443,11.25367730012521,119.60485890152168
1.4965254242886732,0.03557017781347183,0.04642925099489675,290.4473642430099,5.20834045944461,34.01209614525404
0.6419738329052039,0.04783298988729294,0.1116108638538299,3025.031970591939,0.2292322452158085,19.555011630851588
0.8439228148542132,0.07958576333429075,0.11225788762852604,666.7873374774002,0.06780320773977508,3.3664502783952277
0.963950939140342,0.03907954517460871,0.024426938113281,330.4952624830545,9.899519843330674,81.97545857807577
1.1320391141177715,0.022415369972400578,0.02401133604950784,757.6227806461616,67.46571550655364,398.18706200773494
2.041529502947848,0.04248482360982319,0.03395507011993941,445.5897758198927,43.42053605698519,111.42920841612664
0.7150664592404099,0.1341159300526897,0.11654774941560385,909.3489764280649,0.02982761037162071,2.1416085476432123
1.2563833593289826,0.07287639953307333,0.02593150092431284,156.52651205869205,4.652916503107302,24.077928274665584
1.4453004631242243,0.07737762363187124,0.0853240197200198,4941.47905484401,5.91211360812897,76.06911234131536
0.5433947661434233,0.07150157623869773,0.024522012562066372,528.4533695017217,1.5318271886692294,40.072416796649286
1.4850182486245416,0.029864847964339566,0.07019623080014875,390.51112567473575,2.358130262239121,23.644414147311405
0.6786776766081324,0.046461984469150765,0.040983655876361685,1609.2563410211,2.9958962869728354,83.96937022958635
0.5618106695101674,0.0908130630566033,0.098034298338027,415.1969707150902,0.01639012864503775,1.6035813453621075
2.8208356151657212,0.035008072276320266,0.0725054673200202,591.2788363041318,18.944620107335627,54.37655056069219
0.8629896550328051,0.04776095743574968,0.08424157242267788,152.2508730231858,0.0652776992627097,2.32589806917346
0.5956260478030897,0.1441825508475097,0.11629252503996532,2738.6158437113577,0.04860990284021477,5.019260581571968
1.1002090618820455,0.056875488934785244,0.11464478753217443,228.92881277136235,0.06776083066185476,2.021590338815749
0.6222060209649933,0.028706819653253026,0.06613703296258255,176.53733760063068,0.09753504603436865,5.248649065941006
1.214206451499842,0.14139414947080833,0.025838033822131,344.6443895958376,4.818143060780889,26.598958688435502
0.5317769086573912,0.02512913292722448,0.04733204968935877,4553.1781994014955,4.894409814821726,258.05200989287204
2.550109400551126,0.04510301755241716,0.02765620637435287,273.11725656943463,90.42382080873209,121.1346505064294
0.7949502872202294,0.08845544317741758,0.08201198132101789,595.5886956068896,0.11680208074106914,4.774836402477412
1.6387494099028341,0.08271005004114515,0.09227543561930093,112.46139414809127,0.14506585720186865,1.5701341876421662
0.874034082305987,0.04687523421671238,0.02475189376424311,473.01798926458883,8.463202068676715,86.37677012857903
1.269584423116739,0.04020313052112553,0.055454063401160554,934.6641153456762,5.313993585944568,57.589297876234454
1.3316598070397054,0.04456205250253148,0.10324685378387838,4162.2688331170175,3.8172889392868967,70.00931534423567
0.6963293967288252,0.034063393880755986,0.131895509405332,754.9514794294763,0.062119218332301086,5.322762462506664
2.8408839605404728,0.03024885195848797,0.05628460063388057,2463.989072816325,199.50890972484416,438.2838303026289
2.0051209750202625,0.052932124300171926,0.135700839269961,850.2633377518916,0.9870723018293687,10.494479238700805
2.6917968492498026,0.034356861448615564,0.058855989145015795,117.29851512806523,6.221205969816665,15.918100264650448
2.48474042634395,0.03569246672619387,0.04425586441354514,342.917469815324,32.388015475974974,73.13136302578545
1.4595756869825136,0.07511588464162028,0.11047390279998687,950.2575958697522,0.5557136066438033,9.077537264943812
2.608120141371272,0.14078600869240382,0.054003271384897196,4121.265888050623,62.81081172245517,157.07600345592687
0.5859095211742172,0.0674915693981388,0.051757537178005124,2881.620008675141,1.1797737767241394,56.030149898398825
0.7103531551331045,0.023355638541642215,0.05371350123043825,244.32580525976044,0.46088316545767966,15.45383366246727
0.5422051967573934,0.0232900428889425,0.1101586865867651,236.57017920648488,0.023070934529726136,2.723122247257174
0.8956250005480594,0.13601399638683287,0.10691282671536328,219.67813698711055,0.01808560825382812,0.7593134092894612
1.0032743828330224,0.036406392775528325,0.04509565611687884,3692.3082770846045,21.272377920432668,300.2077207227063
0.8130562501810141,0.02407654961845643,0.03914603608766075,2809.6629060499554,19.91586011956523,371.4977842693331
2.2072581716253143,0.06686990541759431,0.05388863138029304,2072.543756071102,40.56781660794576,141.3458543674069
0.9474974538316383,0.07026853246041571,0.06342216040083264,464.7775889696253,0.42008391384057664,9.34827616667691
0.827140991835061,0.07387737280862622,0.03232880534511687,719.3291954154449,3.106179900505351,46.23466620880574
1.3221162405354043,0.034278605979138004,0.0990351434932125,615.0149975549082,0.8131003829845298,14.511248340512413
0.6436212377641607,0.020618295997143,0.053300614898901276,269.47332673376474,0.43832692749519964,17.76561277607535
2.104750338142058,0.13979046967484662,0.03920489682751991,721.1531448547312,15.20447582111083,42.38587426258038
0.5714545315186697,0.033157118484163826,0.024803039718008173,112.67114818054196,0.7916021262503323,18.93908759501258
2.930335240836099,0.07808981849113071,0.03236190983038677,167.47187043562207,30.327572368343176,36.00374929522038
1.9947718789028694,0.08305665229889701,0.13542822211395195,3208.4045979019515,2.351297512400585,25.208142254252984
0.7138399678081409,0.06836343193131751,0.03698374730425228,1892.698234651172,3.791997644347516,86.69375316923679
0.5049717080631209,0.0375701678525854,0.028105558432005445,522.9266106930866,1.5376687481626348,53.386502134354956
2.155372485381669,0.034534710997823286,0.05059957985212575,756.1761113019189,32.23547657090962,110.59790252305923
1.774238219461712,0.06668472403000787,0.03713219173842335,425.2232562605208,13.249984954330067,49.23258763917602
1.99129218349956,0.13473487028694253,0.03835322230661696,2149.3665970762636,42.52757087365368,129.57255142239552
0.5709366765603412,0.024757344655264624,0.0598629859516195,1980.6085199222593,1.3219772401876282,76.47456620929297
0.950409041508746,0.02732212771092772,0.06078719744177096,1689.2566811663742,4.501084225668632,95.41544848382823
0.6153662278540701,0.13419369146724025,0.04102427320173059,222.55980759452515,0.10661875833478812,3.638461251793592
2.3474427770410355,0.08821520406636553,0.04925465831514199,375.14646382619816,8.768821342073853,24.689315951788313
1.5275316627633724,0.11849599924073287,0.13993209138496002,628.4247784627329,0.1314041247688033,2.4823123875312296
0.904604442281729,0.03008471935222568,0.04277923666051612,364.7601369389587,2.183630531057382,35.95880994271031
0.5603095362887918,0.06534368618868198,0.03365071350486145,1916.9940068622861,2.579639582648622,87.09793029010604
0.8728935548596711,0.08214291204925586,0.03266469255042769,362.71186174756764,1.6050201760372897,21.67439835786637
0.8953891201428859,0.0787353135608264,0.05030394856831976,171.73237222331926,0.2342893325989126,4.630645332623444
1.8480510518254225,0.045518477768493985,0.09239674173026917,476.3846492179189,1.5950806565036426,13.593206990145442
2.4510699712276387,0.06473304067281975,0.08350405408453934,241.97235156126675,1.8006316514803087,7.883726978923095
1.1652648300436093,0.03330499312204323,0.02087071784466786,1096.5771687801457,109.15215230432506,528.4829331056145
0.6194873127563729,0.049548446797503705,0.046518105216100586,544.0116802598862,0.49391256530863054,18.85896318198871
1.7946605955889603,0.1377120833644229,0.09549034443326095,132.02877992851913,0.12122881516346828,1.1321688964115766
1.9542307433613433,0.044689998991320555,0.03957692828083505,674.3536607188018,34.60344541560984,112.95885936928357
1.3668742353677286,0.10861951282645571,0.062277976872184525,1559.3949824448955,2.8911535858590875,30.35701728886949
1.9902108036086426,0.029242505235294022,0.030227301794612516,744.6382561727178,138.4428581636814,332.7992461099756
1.2112050281716056,0.07753077561315529,0.08919107944495715,3031.6708147595164,1.865251276755039,35.721853876242264
1.2756607968099167,0.1432092055666691,0.022221706837746314,309.66728356248547,7.791812108440046,33.51629627156752
1.0756267205536203,0.02455798338742648,0.111444089297088,140.13117221283838,0.09772290722796749,2.965109984775753
0.5232990298483678,0.020338103579854154,0.029817002103935127,3901.1880147097786,19.75081331052343,677.4225581258085
0.6066327506912456,0.04791169130984453,0.11646135588067227,439.0806046541091,0.024670359702286954,2.4593263963897507
0.5289646680152978,0.02410365862482621,0.04069252874504404,953.4452122157138,1.6549673399039917,75.81608095521246
1.5638444804668203,0.09034667004993328,0.08578718107905559,2216.1010251185144,2.8302942806352847,31.273567206660235
0.8781859893937597,0.12627463006798248,0.038051491817132625,355.63065276243077,0.6594292798667009,10.24890483107443
1.2436979645979513,0.047954010759151615,0.12409612119829186,1647.1838234176994,0.6586094802761413,16.644351994772045
2.5421079617539513,0.03368360238343213,0.02581340163482071,169.85274263042564,91.73625035013399,115.42736870485605
0.7815505340045195,0.04799096831762047,0.02865799139949212,312.5354886452525,2.5160222140573936,37.18404608851208
